车型名称,评分,销量,图片链接,最低价格,最高价格
逸动,4.45,69303,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M04/B3/25/436x333_autohomecar__ChxoHmX7qFeAB57VAAX0YR3-sPI742.png,8.39,9.69
宝马3系,4.42,68998,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M03/EE/48/436x333_autohomecar__Chtk2Wc-0A2AGKUSAAfb3s50zos139.png,29.99,39.99
星瑞,4.48,68229,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M0B/45/23/436x333_autohomecar__ChwFkGLHnQWASIItAAr2nV2S8ZU605.png,9.97,14.57
艾瑞泽8,4.52,65108,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M0A/E2/BC/436x333_autohomecar__ChxkqWTcNJWAeHfFAAmiCW4E1Yg384.png,9.99,14.89
奥迪A4L,4.50,54275,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M07/BF/A5/436x333_autohomecar__ChsEl16BXKSAFuONAAkKdw4QUKI580.png,32.18,40.08
帝豪,4.62,53590,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M08/B8/EA/436x333_autohomecar__ChwFjmC0T3iAcFpaAAiSBmLlIAw263.png,6.29,14.98
卡罗拉,4.45,52704,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M05/37/BB/436x333_autohomecar__ChxkjmRrD5aASghZAAVS-h3458E194.png,11.68,15.58
亚洲龙,4.52,46657,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M01/EA/96/436x333_autohomecar__ChwFlGJEP4CAeGEmAAiQ_2T_Oss202.png,17.88,27.98
宝马5系,4.50,46535,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M02/49/B2/436x333_autohomecar__ChxkmmVXBzOAZLSOAAJMK1N0g44877.png,43.99,52.59
宝来,4.53,45047,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M01/FF/C8/436x333_autohomecar__ChwFkmKW8smAacBLAAeBP8vnBsw293.png,11.29,14.39
型格,4.49,34060,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M03/DD/4E/436x333_autohomecar__ChwFkWGt1jWAeJ1pAAXm4istgts840.png,12.99,18.69
雷凌,4.29,33076,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M0A/83/BB/436x333_autohomecar__ChxkmmQdGL-AWKZHAAuzAis6ZBw008.png,11.38,14.88
凌渡,4.20,32499,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M05/D0/E6/436x333_autohomecar__ChwFj2IdxYOAf7qjAAhRUrESMIA484.png,14.39,19.09
思域,4.51,32041,https://g.autoimg.cn/@img/car2/cardfs/series/g24/M04/9A/F7/436x333_autohomecar__ChwFjmE4cjOADLMOAAgDnu-0T0o497.png,12.99,18.79
天籁,4.52,31764,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M01/01/B6/436x333_autohomecar__ChtliGMtHGqAO-NjAAet7U-vsWA491.png,17.98,23.98
伊兰特,4.46,31586,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M07/F4/91/436x333_autohomecar__ChxkjmTsRAKAHPa5AAbFjTDIXTo099.png,9.98,14.98
长安UNI-V,4.57,31130,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M02/7A/8D/436x333_autohomecar__ChtlyGYrRo-ABbXxAAZ-4aseQKc194.png,10.89,13.99
蒙迪欧,4.54,26616,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M00/E1/A5/436x333_autohomecar__ChxknGIYlF6Ac-VRAAX0Zl3kFl0941.png,14.98,22.98
奥迪A3,4.34,25637,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M06/F6/22/436x333_autohomecar__ChxkPWckw4SAfaoMAAa1kzYilZ0864.png,16.59,25.13
凯迪拉克CT5,4.55,23567,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M06/9E/46/436x333_autohomecar__CjIFU2WOjW2AM7yGAAe7iAdBXt4816.png,28.97,34.17
荣威i5,4.56,22572,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M03/17/F2/436x333_autohomecar__Chxky2SwK0GAOmkmAAb4EKFMuzg437.png,6.89,9.09
领克03,4.57,21455,https://g.autoimg.cn/@img/car2/cardfs/series/g29/M06/7E/2E/436x333_autohomecar__Chxkm2MQEz-ACEzVAAiQ7S1EZDI965.png,12.78,42.03
捷达VA3,4.52,20738,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M03/F6/41/436x333_autohomecar__ChcCQF37KMGAPStgAAirAEjCYJA481.png,6.78,9.48
英仕派,4.57,19915,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M06/8D/A9/436x333_autohomecar__CjIFVGSBQxGAT3l0AAfNvUkutZg117.png,18.28,22.98
MG5,4.86,19119,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M0B/AF/D9/436x333_autohomecar__ChxkPWbO-TKAGWg1AAgnBXW1A74225.png,6.79,9.99
奔腾B70,4.36,18127,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M02/D2/F7/436x333_autohomecar__CjIFU2VzAUGAC-KjAAfMXxUAftc358.png,9.88,14.49
高尔夫,4.86,18065,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M02/71/4C/436x333_autohomecar__ChxkPmdEE2OAG1rlAAZbpvNdFn8457.png,12.99,16.58
科鲁泽,4.32,15057,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M05/75/66/436x333_autohomecar__ChxkmmMhPs6AcZ1PAAmIXHeHYOM316.png,9.49,10.89
奥迪A7L,4.46,14800,https://g.autoimg.cn/@img/car3/cardfs/series/g7/M08/30/91/436x333_autohomecar__ChwEmWFQJJyAEnUbAAguYPmxiXo052.png,41.87,66.62
威朗,4.50,14330,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M04/89/3A/436x333_autohomecar__ChwFkmIEnveAKbOBAAcz49HxmV4509.png,12.89,15.89
沃尔沃S90,4.50,13880,https://g.autoimg.cn/@img/car2/cardfs/series/g24/M05/40/56/436x333_autohomecar__ChwFjmDTBTSAT4ZbAAgGMaTtp9o368.png,40.69,50.59
奔驰A级,4.54,12942,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M08/AE/47/436x333_autohomecar__CjIFVmSiNXiAcCEkAAcjuKBev7A086.png,25.13,27.57
艾瑞泽5,4.41,12885,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M08/0C/2F/436x333_autohomecar__ChsEnFx2TIaAXkGOAAZzrdkbSpQ620.png,5.99,7.59
君威,4.45,12727,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M0A/0C/9D/436x333_autohomecar__CjIFVWS-TNmAEuF1AAh03cK8r-k756.png,15.98,17.58
沃尔沃S60,4.57,12436,https://g.autoimg.cn/@img/car2/cardfs/series/g29/M03/65/31/436x333_autohomecar__ChsEn13XRxeAKMylAAkoJSnPj-8260.png,30.69,38.49
一汽-大众CC,4.57,12296,https://g.autoimg.cn/@img/car3/cardfs/series/g3/M05/13/C1/436x333_autohomecar__ChsEkV_N_AKAdO_QAAaMv7ecm8g629.png,22.49,29.99
马自达3 昂克赛拉,4.51,12180,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M02/30/CB/436x333_autohomecar__ChwFj2L8fkmARtwlAAjnq6NLyfQ536.png,8.99,18.99
缤瑞,4.53,11813,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M01/B7/06/436x333_autohomecar__ChtlxWT5OUCAQHQTAAZyS8reyEA340.png,8.98,10.98
MG7,4.51,10770,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M02/9D/23/436x333_autohomecar__CjIFVWQimGaAfH_KAAePREoEMLA170.png,11.98,17.89
君越,4.51,9028,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M01/92/E0/436x333_autohomecar__ChxknGRi7g-AVghJAAfPE9KtPM4039.png,17.99,23.99
奕炫,4.51,8700,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M08/81/43/436x333_autohomecar__CjIFVWR3DsmAY_Y8AAlEcSKNRyQ887.png,6.49,9.39
影豹,4.56,7700,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M08/C4/39/436x333_autohomecar__CjIFVWRKSI6AQnulAAfmPXH4gDo409.png,11.80,15.80
Polo,4.43,7217,https://g.autoimg.cn/@img/car3/cardfs/series/g3/M0A/9F/50/436x333_autohomecar__ChsEm1zTjFqASkPaAAbq3SW_9fI270.png,9.09,12.49
索纳塔,4.49,6888,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M0A/0C/64/436x333_autohomecar__ChxoHWXUP-uAAY1dAAbam-BdSIQ136.png,13.98,18.68
启辰D60,4.54,6770,https://g.autoimg.cn/@img/car2/cardfs/series/g29/M0A/B1/2F/436x333_autohomecar__ChwFk2A_egeAfuqEAAfbpViPMgs164.png,8.88,9.98
凡尔赛C5 X,4.52,6744,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M0A/AB/AF/436x333_autohomecar__ChxoHmYLcLiAY2NVAAcFN7npwjY880.png,14.37,18.67
林肯Z,4.65,6738,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M02/31/B9/436x333_autohomecar__ChtlyGXpU_iAUsYrAAdR45Vvh8A583.png,23.58,36.58
骐达TIIDA,4.46,6589,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M0A/46/24/436x333_autohomecar__ChsEfV79SXqAe_h4AAiHvR8MgTQ492.png,8.99,11.59
红旗H6,4.42,6199,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M07/0E/03/436x333_autohomecar__Chtk2WZqpsiAVaEhAAgz2ckaTdc106.png,17.98,23.98
福瑞迪,4.29,5849,https://g.autoimg.cn/@img/car3/cardfs/series/g1/M03/AE/18/436x333_autohomecar__ChwFqV7Yv5yAXm9QAAcGKxAxceE856.png,7.88,13.98
飞度,4.43,5778,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M0A/00/91/436x333_autohomecar__ChxkmWRGJ0yAQ27pAApwYpkAAH8201.png,8.68,10.88
起亚K3,4.53,5590,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M01/BF/E7/436x333_autohomecar__ChtlxmSiN_KAE75uAAZ7Ag2DcqU077.png,11.29,14.39
标致408,4.60,5189,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M0B/85/AE/436x333_autohomecar__ChxoHWX6sOWAbGPeAAgX-S5ysXY736.png,10.97,12.57
捷豹XFL,4.46,5156,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M0B/C9/70/436x333_autohomecar__ChwFjmC58DGAGm6yAAmjxOeO57w513.png,39.99,48.79
捷豹XEL,4.53,4887,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M03/74/2C/436x333_autohomecar__ChwFlGIhdWuAXl5MAAqqfJtZ-zQ066.png,29.98,34.18
速派,4.43,3653,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M01/6E/7F/436x333_autohomecar__ChsEel66WPKAP6YlAAeMkw3EkTs774.png,17.49,19.49
红旗H9,4.52,3376,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M00/57/59/436x333_autohomecar__ChxoHWYqflOACbWoAGRMsMFc3n0344.png,30.98,86.00
星瑞L,4.49,2554,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M08/D8/FA/436x333_autohomecar__ChxkmmUs2TWAXfIoAAbU3ETtdZ0172.png,12.67,14.67
锐程PLUS,4.46,2148,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M00/7F/77/436x333_autohomecar__ChwFkGMz_s2Ab4CvAAdYlSkEeaI707.png,9.99,12.29
凌尚,4.55,2095,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M01/C6/3E/436x333_autohomecar__ChwFkl-3dDWALhY6AAem0KNzie8773.png,13.98,16.98
凯迪拉克CT6,4.48,1281,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M05/5E/79/436x333_autohomecar__CjIFVWSelP-AMlrTAAh-fXiqwaQ950.png,35.97,46.97
标致508,4.58,1206,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M01/45/94/436x333_autohomecar__CjIFVGTZmcOAahPRAAeS-4XcN_g213.png,16.37,20.77
逸达,4.49,1098,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M07/99/C8/436x333_autohomecar__ChwFlGNJCDaAIjhJAAYeB7u3RO4024.png,8.39,10.79
亚洲狮,4.56,1004,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M01/6D/72/436x333_autohomecar__ChwFj2IOB8mAfF1vAEvinWs6Bxk070.png,14.18,17.98
LIFE,4.46,954,https://g.autoimg.cn/@img/car3/cardfs/series/g14/M07/39/A5/436x333_autohomecar__ChsE4V_FpjWABxi1AAjyAxCJP1I829.png,9.78,11.28
标致408X,4.60,872,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M01/AB/E3/436x333_autohomecar__ChtliGO-kmiAM-2tAAiIzniCr14159.png,15.37,17.97
凯迪拉克CT4,4.44,870,https://g.autoimg.cn/@img/car2/cardfs/series/g29/M0B/43/17/436x333_autohomecar__ChsEn153WVuAavGFAAcZHueJlGU725.png,21.97,25.97
起亚K5,4.50,857,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M00/4A/EF/436x333_autohomecar__ChwFkWESVx-APOKIAAa9KNNJiv0934.png,13.98,20.68
MG6,4.49,851,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M02/97/82/436x333_autohomecar__ChxkmmGMhquAf6HTAAbC_QzWLd8799.png,10.98,13.98
明锐,4.51,802,https://g.autoimg.cn/@img/car3/cardfs/series/g4/M07/6C/E8/436x333_autohomecar__ChsFVmCHe0mACDIPAAmHgJ1MAFI156.png,14.39,15.49
迈锐宝XL,4.53,778,https://g.autoimg.cn/@img/car2/cardfs/series/g3/M09/70/A8/436x333_autohomecar__ChsEkVw22XqAIt3UAAQjwASbTLI623.png,17.59,21.99
绅宝D50,3.92,642,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M0B/29/CB/436x333_autohomecar__ChcCL1qnP1qAL4umAAUEXct4y54172.png,6.79,11.98
菲斯塔,4.50,581,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M00/C9/90/436x333_autohomecar__ChsEdmNWmbSAB0FWAAITt9ZM_AY977.png,13.88,15.48
凌派,4.45,413,https://g.autoimg.cn/@img/car2/cardfs/series/g7/M15/7A/6D/436x333_autohomecar__ChsEvmFSrb6AWymQAAaXKXejLcU229.png,11.98,16.98
焕驰,3.50,115,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M08/CB/56/436x333_autohomecar__wKgHPltEC5GAAw4UAAUlGmxlkqE674.png,6.69,7.09
宝马1系,4.31,112,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M0B/8F/64/436x333_autohomecar__ChwFlF-ELK2ACOqQAAhsAsldVrw557.png,19.88,31.98
雪铁龙C4L,4.38,74,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M01/7D/21/436x333_autohomecar__ChsEf17XcvKAEsiKAAfNGYK5I5g959.png,10.69,18.99
轩度,4.53,71,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M06/70/B3/436x333_autohomecar__Chtlx2Sc5_qAVGxbAAexAfzvJwc970.png,7.98,9.39
享域,4.62,44,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M05/0A/80/436x333_autohomecar__ChwFj2JmdRKARKT8AAfQ1MJ_tSI415.png,10.98,16.99
红旗国礼,4.53,10,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M08/BA/32/436x333_autohomecar__ChxkmmRHm-GAZ6PMAAbCWVEkolI649.png,718.00,718.00
雪铁龙C6,N/A,2,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M01/76/29/436x333_autohomecar__ChsEmF6-VZ6AZsUZAAdVM6hJJM8359.png,18.99,27.99
