Car_name,rating,image,Min_price,Max_price
长安Lumin,4.53,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M09/6E/97/436x333_autohomecar__ChwFlGIu0waAGaKOAAh6zdKx4jc198.png,3.79,6.99
AION S,4.51,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M00/9A/35/436x333_autohomecar__ChsEdmNGiPeARhVLAAfS3QdHZjY746.png,13.98,14.68
熊猫,4.45,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M0B/3F/43/436x333_autohomecar__CjIFV2SiOP6AanH4AArwD9j35Tg115.png,2.99,5.39
极氪001,4.59,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M00/FD/E3/436x333_autohomecar__ChxoHmXeAJOAWcgqAAkrZ-POgxM792.png,25.9,32.9
大众ID.3,4.59,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M0B/43/BC/436x333_autohomecar__CjIFU2V4DPuAe64HAAaKPLlogls618.png,12.99,18.09
红旗E-QM5,4.58,https://g.autoimg.cn/@img/car2/cardfs/series/g24/M0A/90/AF/436x333_autohomecar__Chtk3WCd0Y2AKjBnAAcJzLq4tp0660.png,16.58,23.98
五菱星光,4.51,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M00/67/0E/436x333_autohomecar__CjIFVGWFaLqAdRSrAAbResIjDJI329.png,7.98,10.98
银河L6,4.51,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M06/45/32/436x333_autohomecar__CjIFU2V4EJyAa0qEAAZj03xUyII345.png,9.98,14.98
零跑T03,4.49,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M0B/45/40/436x333_autohomecar__Chtk3WQIIZmABkn0AAIq67kU2c4010.png,4.99,6.99
奔腾小马,4.71,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M02/2F/8F/436x333_autohomecar__ChxoHmYvZpKAVhtxAAactKqbZBU068.png,2.49,3.99
领克07,4.51,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M0B/00/A4/436x333_autohomecar__ChtlyGYdLKqASVtQAAggJDD5TrE303.png,16.98,19.98
长安启源A07,4.71,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M0A/30/F5/436x333_autohomecar__ChxkjmWFaXiAaafdAAa0Ibm_vnI141.png,13.59,15.99
深蓝SL03,4.55,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M03/57/32/436x333_autohomecar__ChtlyGYqfdmARfRkAAgQ_zaC-v4243.png,11.99,20.99
蔚来ET5T,4.58,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M03/04/C4/436x333_autohomecar__ChxknGV4EA2AJu_9AAcTT04q2hI791.png,29.8,35.6
丰田bZ3,4.52,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M02/2F/A2/436x333_autohomecar__ChsFJ2NfNDGAGbWLAAcordrrrY0946.png,16.98,19.98
海豹,4.34,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M05/4C/0E/436x333_autohomecar__Chtk2WasoV6AHYWGAAYRhXkxZxQ248.png,14.98,24.98
欧拉好猫,4.49,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M08/D8/A4/436x333_autohomecar__ChtlyGYnm26AKkgkAAtb-oxBzAY484.png,10.58,13.58
极氪007,4.48,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M04/2B/65/436x333_autohomecar__CjIFU2V3yGKAYqDvAAYbfFIiKq8035.png,20.99,29.99
微蓝6,4.38,https://g.autoimg.cn/@img/car2/cardfs/series/g6/M00/72/C3/436x333_autohomecar__Chxkj2DnuyyASLi9AAnDGTd0Dqo361.png,11.28,16.89
小鹏MONA M03,4.49,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M01/A7/1A/436x333_autohomecar__Chtk2WbOjc6ANKI3AAi5WZUHzQ0191.png,11.98,15.58
纳米01,4.57,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M06/94/A8/436x333_autohomecar__ChtlxWWFZ46AafJ4AAfAeIN0Yx8951.png,7.48,13.98
智界S7,4.51,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M06/E1/60/436x333_autohomecar__ChxkmWTdj9CAfK8VAAYEPjHzr1E079.png,22.98,34.98
宝马i3,4.49,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M07/34/91/436x333_autohomecar__ChxoHmW4xwaAGLJWAAgsDFpWtbM429.png,35.39,41.39
海豹07 DM-i,4.53,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M09/B6/7A/436x333_autohomecar__ChxkPmay7YuAVLozAAgJCDY_Gl4807.png,13.98,19.58
长安启源A05,4.38,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M03/26/66/436x333_autohomecar__Chtlx2UwuemAVx9gAAXmrgce6Cs704.png,7.89,10.39
QQ冰淇淋,4.29,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M0B/D7/82/436x333_autohomecar__ChxkmmTv8UOACT9wAAZM36MvguQ806.png,2.99,5.69
智己L6,4.53,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M06/AB/5C/436x333_autohomecar__ChxkPmbr7nCAX48AAAakhT88iSg902.png,21.99,34.59
eπ007,4.47,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M09/D8/48/436x333_autohomecar__ChxoHmYnmlKAKKY_AAXs_c4eTqw737.png,13.16,19.96
银河E8,4.47,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M00/EB/45/436x333_autohomecar__ChxknGV3yJWAFnjFAAdm5mgiFto615.png,16.58,22.88
星愿,4.45,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M06/53/2E/436x333_autohomecar__ChxkPmaRC0iAQhOeAAYbjdYu9X8904.png,6.98,9.88
风云A8,4.60,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M02/C5/34/436x333_autohomecar__CjIFVWWKOROAXsw5AAcC31Auhi0872.png,10.99,14.99
蔚来ET5,4.60,https://g.autoimg.cn/@img/car3/cardfs/series/g29/M07/4F/37/436x333_autohomecar__ChsFVWOYPLiAebx9AAjGl5LFkvk063.png,29.8,35.6
小蚂蚁,4.49,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M03/50/1B/436x333_autohomecar__CjIFVWU9IH-ANDpHAAsD-HV9EPE262.png,5.99,7.69
荣威D7,4.53,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M03/D2/DD/436x333_autohomecar__Chtlx2WFZ9uAeXBpAAcKMs74iwo726.png,12.38,20.08
小麒麟,4.49,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M04/26/B7/436x333_autohomecar__ChsFWWNjrruAEsouAFCKj9YdOlg936.png,4.99,5.19
阿维塔12,4.58,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M09/F8/B2/436x333_autohomecar__Chtk3WTxwY2AACd8AAVEApT6L1U158.png,26.99,42.99
极狐 阿尔法S5,4.54,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M0A/EB/31/436x333_autohomecar__ChtlxWTa1S6ANXZuAAZWzowWK3M543.png,16.08,21.68
零跑C01,4.55,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M07/DE/AB/436x333_autohomecar__ChtlxWSiN22AOgguAAaO0K90Hww115.png,13.68,19.98
宝骏云朵,4.50,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M02/4C/94/436x333_autohomecar__ChxknGRbORqAC4WcAAc1A7hyr4c400.png,9.58,14.58
比亚迪e2,4.38,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M08/BC/32/436x333_autohomecar__ChtlyGXxP7eALsZ_AAXyyE5vHLo790.png,8.98,14.78
北汽新能源EU,4.63,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M04/B0/7E/436x333_autohomecar__ChsEf1wOBeSAQWSLAAXSi2x5FWM816.png,12.98,25.69
吉利几何A,4.24,https://g.autoimg.cn/@img/car3/cardfs/series/g3/M08/9D/16/436x333_autohomecar__ChsEkV1JJdmAIR_GAAf8zKmm0mU464.png,14.38,20.78
小鹏P7,4.57,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M0B/D4/55/436x333_autohomecar__ChxknGQKzHyAB6XLAAWv7FNTmBg127.png,22.39,33.99
钇为3,4.53,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M08/F9/A7/436x333_autohomecar__ChxkqWWFaQeAFHiZAAgcKkapzPU843.png,6.99,14.99
启辰D60EV,4.57,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M06/09/04/436x333_autohomecar__ChwFkmNOQuuAChUhAAbmm0LQysc517.png,13.98,15.81
曹操60,4.48,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M09/BC/C2/436x333_autohomecar__CjIFVGQlFwuAJ3tQAAceHjqW2HE224.png,11.98,16.98
知豆彩虹,4.43,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M01/A6/EC/436x333_autohomecar__ChxoHWYV7bqAKomvAAZqFMSYInc782.png,3.19,4.39
MG4 EV,4.50,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M06/85/2F/436x333_autohomecar__ChxkmmR3DeuAAOOYAAkxEuxyQXw306.png,13.98,18.68
东风风神E70,4.46,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M02/0E/8B/436x333_autohomecar__ChsEbGMHL4SATk34AAg2lVVgDeQ589.png,14.28,15.38
星海S7,4.42,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M06/BC/45/436x333_autohomecar__ChxoHWXxP32AbWirAATTgK7NPnQ292.png,11.98,18.49
领克Z10,4.54,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M00/12/21/436x333_autohomecar__ChxkPmZqvNeAEjTQAAhlAT-80yI259.png,18.68,32.98
蔚来ET7,4.67,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M03/9D/5D/436x333_autohomecar__ChtlyGYmKa6AdbpxAAdm2lumxBM417.png,42.8,51.6
凯翼拾月,4.27,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M07/A0/39/436x333_autohomecar__CjIFVWWFZweAYFFuAAhpzg5qfzY703.png,5.39,9.98
哪吒S,4.38,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M05/1C/9F/436x333_autohomecar__ChxoHmXUg0SASOCfAAbm3W7Xsa0818.png,15.48,22.48
风行S50EV,4.57,https://g.autoimg.cn/@img/car3/cardfs/series/g10/M02/2B/34/436x333_autohomecar__ChsFVWBtdmeAe9BwAAhMGrm3nSU370.png,15.09,16.99
荣威i6 MAX新能源,4.47,https://g.autoimg.cn/@img/car2/cardfs/series/g3/M0B/E3/CD/436x333_autohomecar__ChsEkV9qsPyAeWQfAAdeugMZhpI338.png,15.28,18.28
红旗EH7,4.57,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M05/C2/60/436x333_autohomecar__ChxkPmb6deGAA9CUAAXJdk186LA372.png,22.98,30.98
腾势Z9GT,4.48,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M00/5B/29/436x333_autohomecar__ChxkPmdNl5SALFjzAAZvgLPglK4028.png,33.48,41.48
长安UNI-V 智电iDD,4.57,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M03/37/8A/436x333_autohomecar__ChxoHmXpbpGAChG0AAX7gOl8rDU060.png,11.49,15.19
深蓝L07,4.66,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M0A/E3/79/436x333_autohomecar__ChxkPWbR3L2ACawEAAiIuRe_0Xw983.png,15.19,17.39
宝马5系新能源,4.19,https://g.autoimg.cn/@img/car3/cardfs/series/g2/M01/DA/CB/436x333_autohomecar__ChsEkF9sB32AXCOfAApVa9qikec573.png,49.69,69.86
远航Y6,4.57,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M03/DA/4A/436x333_autohomecar__ChxknGMIq1OAbbYGAAivH3ZfnAw597.png,26.98,33.98
雅阁新能源,4.29,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M01/17/EF/436x333_autohomecar__ChxkmWQlIY6AQzlDAAZgDjcahtE466.png,22.58,25.88
凌宝BOX,4.66,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M0A/22/1E/436x333_autohomecar__ChwFkmKisaCAJgJXAAmqbzE9eco106.png,3.79,6.88
秦新能源,4.56,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M0B/8D/8B/436x333_autohomecar__CjIFVWSiOAeAYYHnAAciw7xT3vs956.png,16.88,16.88
易至EV3,4.42,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M00/BB/42/436x333_autohomecar__ChxkmWUULjqAaFdZAAwQIJvCg6k681.png,5.28,6.68
e爱丽舍,4.55,https://g.autoimg.cn/@img/car2/cardfs/series/g3/M00/54/D3/436x333_autohomecar__ChwFlV9QYYeAbeU1AAheGUlWmmE170.png,12.98,13.98
岚图追光,4.34,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M08/B9/BB/436x333_autohomecar__CjIFU2VvMTCAfz2DAAgYgvxWS1A129.png,25.28,38.59
帕萨特新能源,4.60,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M0B/0D/82/436x333_autohomecar__ChwFj2IhdaSAYdmrAAoHfhXyu_g910.png,23.32,24.22
小鹏P5,4.56,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M06/8C/1B/436x333_autohomecar__ChtlxmUROpiAc8KiAAZbt4FAG8Y192.png,15.69,17.49
大众ID.7 VIZZION,4.46,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M01/AA/C4/436x333_autohomecar__ChxknGVlX06AXfyvAAmeZixDd3o085.png,22.78,26.28
极越07,4.43,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M02/E3/85/436x333_autohomecar__Chtk2WbR3P-AG6oFAAnt8WTrt5E753.png,20.99,29.99
昊铂GT,4.48,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M04/03/DC/436x333_autohomecar__ChxknGV4Db6AJNJeAAcWy0I3aFo611.png,20.39,25.99
迈腾GTE插电混动,4.50,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M04/C0/09/436x333_autohomecar__ChsEel4fu7iAO3fIAAfrhGdVMLw518.png,23.79,25.29
羿,4.72,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M03/14/5C/436x333_autohomecar__ChxknGJGyyWAd5hqAAkdscHjQDA210.png,11.88,19.98
宝骏KiWi EV,4.58,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M07/B7/EA/436x333_autohomecar__ChxknGL9n7qAOoRVAAlSWX2DFWs343.png,8.78,10.28
逸动新能源,4.57,https://g.autoimg.cn/@img/car2/cardfs/series/g29/M07/CF/00/436x333_autohomecar__ChwFk2HpOBaAO2fNAAdFx-7-Gqk940.png,14.99,14.99
花仙子,4.55,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M03/DC/EC/436x333_autohomecar__ChxkjmNggf-AAJMaAAceEG0XYSc809.png,5.99,7.49
享界S9,4.08,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M04/C0/89/436x333_autohomecar__ChtlyGXxUfeANHYkAARryoIX-to005.png,39.98,44.98
飞凡F7,3.57,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M05/03/AD/436x333_autohomecar__ChxknGV4DUeAAh6NAAWlX7f5uRU846.png,18.99,30.99
星纪元 ES,4.54,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M05/DD/51/436x333_autohomecar__ChxkjmU2UcqAZPACAAbfayoIhCs790.png,19.59,33.98
长安奔奔E-Star,4.81,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M07/94/BB/436x333_autohomecar__ChtlxWWFaViAIb13AAfc-OZtFio558.png,2.98,8.49
枫叶60s,4.86,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M08/44/F3/436x333_autohomecar__ChwFj2IVrAyAfxnhAE036ZU8ty0732.png,9.98,16.38
沃尔沃S90插电式混动,4.75,https://g.autoimg.cn/@img/car3/cardfs/series/g1/M02/EE/DB/436x333_autohomecar__ChsEmV9qrOKAa7rWAApwMiZhly4277.png,49.99,61.39
帝豪L HiP,4.45,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M08/F3/3D/436x333_autohomecar__ChxkmWWFZceAFd-tAAi5sKMYw-k383.png,8.98,12.28
凌宝uni,4.53,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M06/CF/CA/436x333_autohomecar__ChwFkmKGDzSALtnGAAcN4cvjSo4494.png,2.98,4.18
艾瑞泽e,4.44,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M05/23/0C/436x333_autohomecar__ChsEmF1bkbOARvFOAAbBMN-w2Tg846.png,15.28,15.78
爱跑,4.51,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M04/ED/F0/436x333_autohomecar__ChxkPmbhK9OAMwuiAAajYQwHI-U210.png,15.29,18.99
极狐 阿尔法S(ARCFOX αS),4.37,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M05/4F/A6/436x333_autohomecar__CjIFU2V4LSaACAdRAAhhABoVEmQ885.png,18.98,32.98
荣威Ei5,4.52,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M0B/16/3D/436x333_autohomecar__CjIFWGSiOCKAcQiPAAYaA7wXHqQ374.png,15.28,16.68
欧拉闪电猫,4.47,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M01/57/49/436x333_autohomecar__ChxoHWYqffCAIhYqAGbD69FN_vs424.png,18.98,27.28
比亚迪e3,4.50,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M00/9B/D9/436x333_autohomecar__ChcCP12hLuyAK7IRAAc-Y3uBa8Y858.png,15.48,15.58
五菱Air ev晴空,4.52,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M0B/AA/DF/436x333_autohomecar__ChxkjmL5rj6ANnguAAcu_8oqjIw739.png,5.78,6.98
欧拉芭蕾猫,4.48,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M02/05/07/436x333_autohomecar__ChtliGLOKe2AQPV6AAnxkHjc6TI251.png,14.98,17.98
风光MINIEV,4.41,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M01/5D/6E/436x333_autohomecar__ChtliGSiNpyASWhhAAkLTgXZoz0788.png,3.26,5.91
元宝,4.50,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M01/C4/45/436x333_autohomecar__CjIFVmR4DreAQFYBAAwuLQ2tMeY424.png,2.97,5.19
合创A06,3.71,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M09/93/0B/436x333_autohomecar__ChsFWWN_YW6AR5Y3AALUaRDNE_4958.png,13.98,26.98
宝马i5,4.42,https://g.autoimg.cn/@img/car2/cardfs/series/g24/M07/ED/2E/436x333_autohomecar__CjIFWGTTDheARVBGAAGx9IGXEQ8694.png,43.99,53.99
吉利几何G6,4.35,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M04/A8/F9/436x333_autohomecar__ChtliGNp8FaANLhTAAYWwbDRjoo323.png,11.98,18.58
英仕派新能源,4.86,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M07/89/CB/436x333_autohomecar__ChxkjmR3DyiAWgJUAAh19j9SoTk091.png,22.98,25.88
小鹏P7+,4.08,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M01/49/6C/436x333_autohomecar__Chtk2Wc3BI-AJ6Q-AAYWvGlaV68748.png,18.68,21.88
海豹06GT,4.63,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M00/81/9B/436x333_autohomecar__ChxkPWbMXJKAeu-qAAdJ0CbHdbk138.png,13.68,18.68
富康ES600,4.29,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M04/08/59/436x333_autohomecar__ChxknGIpx16AR43pAARmVzsNI7s160.png,15.38,16.38
智己L7,4.50,https://g.autoimg.cn/@img/car3/cardfs/series/g5/M03/64/4B/436x333_autohomecar__ChsF3WB9SxWAFwEjAAY60fxYaJ4725.png,29.99,41.99
灵悉L,0,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M06/0D/01/436x333_autohomecar__ChxkPWbi0xiAGJRVAAd7edco6Oc059.png,12.98,12.98
畅巡,0,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M04/D5/CE/436x333_autohomecar__ChcCQF3xoUGAXMMfAAaIz0hFKWs851.png,18.29,19.79
雷丁芒果,0,https://g.autoimg.cn/@img/car2/cardfs/series/g24/M02/BD/D7/436x333_autohomecar__ChwFjmC_OpOASrlaAAnoSiWJuqE325.png,2.98,7.39
奔驰EQE,0,https://g.autoimg.cn/@img/car3/cardfs/series/g29/M04/76/BE/436x333_autohomecar__Chxkm2MNeJqAfdRjAAjCm8i_FVs906.png,47.8,62.7
长安启源A06,0,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M02/30/F4/436x333_autohomecar__ChxkjmWFaWmAf6e1AAaaDB6bsgo752.png,0,0
AION RT,0,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M02/69/A4/436x333_autohomecar__Chtk2Wb2FNWARkC8AAdl-0bNVfo970.png,11.98,16.58
科莱威CLEVER,0,https://g.autoimg.cn/@img/car2/cardfs/series/g24/M06/E4/39/436x333_autohomecar__Chtk3WCk1IqAeDBDAAjPm3NEVhg926.png,6.8,6.8
轩度EV,0,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M06/5C/4D/436x333_autohomecar__Chtk2Wa8gGGAMaTpAAVDwkHW-tk885.png,14.99,14.99
小虎EV,0,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M03/A8/59/436x333_autohomecar__ChwFj2N-EKGAbcz6AAeFL5SE9p8848.png,4.19,5.59
沃尔沃S60插电式混动,0,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M0B/8A/72/436x333_autohomecar__ChxkmmSiNJ2ACD0HAAdDoCpPM7c778.png,39.99,46.19
高合HiPhi Z,0,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M03/7F/FA/436x333_autohomecar__CjIFVmSenm6Acgz6AAdS8m0ENTU469.png,51,63
